Week,Bitcoin: (United States)
2018-12-23,7
2018-12-30,5
2019-01-06,5
2019-01-13,5
2019-01-20,4
2019-01-27,4
2019-02-03,5
2019-02-10,4
2019-02-17,5
2019-02-24,5
2019-03-03,4
2019-03-10,4
2019-03-17,5
2019-03-24,4
2019-03-31,8
2019-04-07,7
2019-04-14,6
2019-04-21,6
2019-04-28,5
2019-05-05,8
2019-05-12,14
2019-05-19,10
2019-05-26,10
2019-06-02,8
2019-06-09,7
2019-06-16,12
2019-06-23,19
2019-06-30,12
2019-07-07,11
2019-07-14,11
2019-07-21,9
2019-07-28,8
2019-08-04,9
2019-08-11,8
2019-08-18,7
2019-08-25,37
2019-09-01,100
2019-09-08,58
2019-09-15,54
2019-09-22,28
2019-09-29,6
2019-10-06,6
2019-10-13,5
2019-10-20,7
2019-10-27,6
2019-11-03,5
2019-11-10,5
2019-11-17,6
2019-11-24,6
2019-12-01,5
2019-12-08,5
2019-12-15,5
2019-12-22,5
2019-12-29,5
2020-01-05,6
2020-01-12,6
2020-01-19,6
2020-01-26,6
2020-02-02,7
2020-02-09,8
2020-02-16,7
2020-02-23,7
2020-03-01,6
2020-03-08,11
2020-03-15,10
2020-03-22,8
2020-03-29,6
2020-04-05,7
2020-04-12,7
2020-04-19,6
2020-04-26,9
2020-05-03,10
2020-05-10,12
2020-05-17,8
2020-05-24,7
2020-05-31,7
2020-06-07,6
2020-06-14,6
2020-06-21,6
2020-06-28,6
2020-07-05,5
2020-07-12,7
2020-07-19,6
2020-07-26,11
2020-08-02,9
2020-08-09,8
2020-08-16,8
2020-08-23,6
2020-08-30,7
2020-09-06,6
2020-09-13,6
2020-09-20,5
2020-09-27,5
2020-10-04,5
2020-10-11,5
2020-10-18,8
2020-10-25,9
2020-11-01,8
2020-11-08,9
2020-11-15,15
2020-11-22,16
2020-11-29,14
2020-12-06,11
2020-12-13,20
2020-12-20,18
2020-12-27,27
2021-01-03,44
2021-01-10,43
2021-01-17,27
2021-01-24,26
2021-01-31,24
2021-02-07,40
2021-02-14,36
2021-02-21,39
2021-02-28,26
2021-03-07,25
2021-03-14,24
2021-03-21,24
2021-03-28,22
2021-04-04,19
2021-04-11,26
2021-04-18,34
2021-04-25,23
2021-05-02,22
2021-05-09,30
2021-05-16,44
2021-05-23,32
2021-05-30,22
2021-06-06,24
2021-06-13,18
2021-06-20,23
2021-06-27,16
2021-07-04,14
2021-07-11,13
2021-07-18,15
2021-07-25,18
2021-08-01,15
2021-08-08,16
2021-08-15,14
2021-08-22,14
2021-08-29,12
2021-09-05,19
2021-09-12,12
2021-09-19,16
2021-09-26,12
2021-10-03,15
2021-10-10,17
2021-10-17,24
2021-10-24,20
2021-10-31,16
2021-11-07,18
2021-11-14,17
2021-11-21,17
2021-11-28,18
2021-12-05,20
2021-12-12,17
2021-12-19,15
2021-12-26,14
2022-01-02,18
2022-01-09,17
2022-01-16,19
2022-01-23,24
2022-01-30,16
2022-02-06,17
2022-02-13,14
2022-02-20,19
2022-02-27,16
2022-03-06,15
2022-03-13,13
2022-03-20,13
2022-03-27,13
2022-04-03,12
2022-04-10,12
2022-04-17,10
2022-04-24,11
2022-05-01,11
2022-05-08,28
2022-05-15,19
2022-05-22,14
2022-05-29,12
2022-06-05,12
2022-06-12,37
2022-06-19,26
2022-06-26,18
2022-07-03,16
2022-07-10,14
2022-07-17,15
2022-07-24,12
2022-07-31,10
2022-08-07,11
2022-08-14,10
2022-08-21,10
2022-08-28,10
2022-09-04,10
2022-09-11,10
2022-09-18,11
2022-09-25,10
2022-10-02,9
2022-10-09,9
2022-10-16,8
2022-10-23,8
2022-10-30,8
2022-11-06,18
2022-11-13,16
2022-11-20,12
2022-11-27,11
2022-12-04,10
2022-12-11,10
2022-12-18,9
2022-12-25,8
2023-01-01,8
2023-01-08,9
2023-01-15,11
2023-01-22,9
2023-01-29,9
2023-02-05,7
2023-02-12,7
2023-02-19,6
2023-02-26,7
2023-03-05,8
2023-03-12,13
2023-03-19,13
2023-03-26,10
2023-04-02,9
2023-04-09,12
2023-04-16,10
2023-04-23,9
2023-04-30,9
2023-05-07,9
2023-05-14,8
2023-05-21,8
2023-05-28,7
2023-06-04,8
2023-06-11,8
2023-06-18,10
2023-06-25,9
2023-07-02,9
2023-07-09,9
2023-07-16,8
2023-07-23,8
2023-07-30,7
2023-08-06,7
2023-08-13,9
2023-08-20,8
2023-08-27,8
2023-09-03,7
2023-09-10,7
2023-09-17,6
2023-09-24,6
2023-10-01,7
2023-10-08,7
2023-10-15,8
2023-10-22,13
2023-10-29,10
2023-11-05,11
2023-11-12,10
2023-11-19,10
2023-11-26,9
2023-12-03,15
2023-12-10,11
2023-12-17,10
